OldField,NewField,Shown,Language,Mapping
"http://rs.tdwg.org/dwc/terms/associatedSequences","http://rs.tdwg.org/dwc/terms/associatedSequences",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/associatedTaxa","http://rs.tdwg.org/dwc/terms/associatedTaxa",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/otherCatalogNumbers","http://rs.tdwg.org/dwc/terms/otherCatalogNumbers",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/occurrenceRemarks","http://rs.tdwg.org/dwc/terms/occurrenceRemarks",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/organismID","http://rs.tdwg.org/dwc/terms/organismID",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/organismName","http://rs.tdwg.org/dwc/terms/organismName",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/organismScope","http://rs.tdwg.org/dwc/terms/organismScope",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/associatedOccurrences","http://rs.tdwg.org/dwc/terms/associatedOccurrences",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/associatedOrganisms","http://rs.tdwg.org/dwc/terms/associatedOrganisms",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/previousIdentifications","http://rs.tdwg.org/dwc/terms/previousIdentifications",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/organismRemarks","http://rs.tdwg.org/dwc/terms/organismRemarks",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/materialSampleID","http://rs.tdwg.org/dwc/terms/materialSampleID",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/eventID","http://rs.tdwg.org/dwc/terms/eventID",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/parentEventID","http://rs.tdwg.org/dwc/terms/parentEventID",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/fieldNumber","http://rs.tdwg.org/dwc/terms/fieldNumber",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/eventDate","http://rs.tdwg.org/dwc/terms/eventDate",,DBSCHEMA,DECIMAL
"http://rs.tdwg.org/dwc/terms/eventTime","http://rs.tdwg.org/dwc/terms/eventTime",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/startDayOfYear","http://rs.tdwg.org/dwc/terms/startDayOfYear",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/endDayOfYear","http://rs.tdwg.org/dwc/terms/endDayOfYear",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/year","http://rs.tdwg.org/dwc/terms/year",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/month","http://rs.tdwg.org/dwc/terms/month",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/day","http://rs.tdwg.org/dwc/terms/day",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/verbatimEventDate","http://rs.tdwg.org/dwc/terms/verbatimEventDate",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/habitat","http://rs.tdwg.org/dwc/terms/habitat",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/samplingProtocol","http://rs.tdwg.org/dwc/terms/samplingProtocol",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/samplingEffort","http://rs.tdwg.org/dwc/terms/samplingEffort",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/sampleSizeValue","http://rs.tdwg.org/dwc/terms/sampleSizeValue",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/sampleSizeUnit","http://rs.tdwg.org/dwc/terms/sampleSizeUnit",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/fieldNotes","http://rs.tdwg.org/dwc/terms/fieldNotes",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/eventRemarks","http://rs.tdwg.org/dwc/terms/eventRemarks",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/locationID","http://rs.tdwg.org/dwc/terms/locationID",,DBSCHEMA,INTEGER
